WRZ_ID,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080
1,0.738756554,0.691359924,0.661111181,0.6462674,0.634627282,0.636028107,0.635187792,0.632023545,0.624064909,0.629336642,0.623081956,0.617101858,0.618581946,0.619442084,0.621586896,0.623525935,0.622081224,0.62218182,0.614455812,0.607723636,0.604143983,0.608445168,0.612267181,0.615566564,0.61313693,0.61615324,0.620470349,0.624978349,0.629460404,0.633938371,0.638423005,0.642897834,0.647335957,0.651738451,0.656092029,0.660394657,0.664640766,0.668936434,0.673297722,0.67779263,0.682460932,0.686979573,0.69154886,0.696166689,0.700846825,0.705594347,0.710416841,0.715303927,0.72025611,0.725278195,0.730357422,0.735495259,0.740670198,0.745889655,0.751143274,0.75643787,0.761796049,0.767210629,0.772675315,0.778183041,0.782807066
2,0.75118599,0.719052383,0.696574733,0.689060392,0.684120275,0.67870394,0.676317513,0.672911583,0.670895413,0.67143766,0.672133213,0.672536351,0.672764276,0.672305069,0.673037747,0.67348314,0.671596125,0.671383331,0.669503548,0.668062986,0.653332893,0.656007445,0.658063362,0.656293575,0.651971965,0.653061863,0.655615326,0.658358325,0.661059977,0.663716109,0.666342565,0.668928651,0.671449187,0.673910034,0.676298411,0.678606798,0.680841424,0.682892869,0.684979382,0.687164086,0.68947651,0.691628155,0.694212986,0.696819859,0.699461688,0.702141697,0.704865475,0.70741638,0.709998893,0.712617338,0.71525934,0.71792592,0.720598132,0.723283504,0.725971885,0.728668301,0.731390084,0.734132368,0.736888664,0.739652207,0.74301307
3,0.658363425,0.647699533,0.637936665,0.629655349,0.619739196,0.615816634,0.614413793,0.614545571,0.615869304,0.61715842,0.618582,0.619189425,0.619057567,0.619077299,0.618313608,0.618596974,0.618222556,0.618605344,0.617207241,0.616050068,0.61718802,0.619375195,0.622886621,0.625451212,0.624303705,0.625797462,0.629576209,0.633635855,0.637650062,0.641608907,0.645527697,0.649025244,0.652451647,0.655814291,0.659100105,0.662301604,0.665424293,0.668340229,0.671283414,0.674314339,0.67745872,0.68045339,0.683906328,0.687374998,0.690874321,0.694407598,0.698370454,0.701752485,0.705161755,0.708603082,0.712064111,0.715546861,0.719032985,0.722530897,0.726029984,0.729534168,0.733058352,0.736600481,0.74015399,0.743711836,0.747244391
4,0.629166923,0.617732657,0.594455432,0.560958384,0.531669254,0.517503472,0.511524321,0.510840449,0.513642837,0.515247638,0.516690076,0.517812089,0.518685838,0.519131159,0.520384893,0.521516079,0.522282458,0.523184732,0.523994846,0.524676322,0.523569568,0.52390417,0.524189521,0.523400199,0.523472022,0.524919028,0.527524681,0.530314312,0.533081005,0.535803425,0.538495497,0.541148431,0.543743323,0.546287158,0.548769093,0.551182618,0.553533713,0.555810923,0.558110906,0.560482666,0.56294666,0.565288372,0.56782029,0.57036731,0.572940884,0.575543513,0.57817961,0.580753151,0.58334956,0.58597275,0.588612582,0.591270624,0.593931984,0.596603601,0.599276837,0.60195486,0.604649698,0.607359591,0.610079127,0.612802626,0.615560438
5,1.250715208,1.220467293,1.196145459,1.167128756,1.154930253,1.15175792,1.146934701,1.136301952,1.132174262,1.135279045,1.134808188,1.133970614,1.132623486,1.131201136,1.132104155,1.132464121,1.132604426,1.132647584,1.132613577,1.132313698,1.133790213,1.140217048,1.14651769,1.152866664,1.157224525,1.158705516,1.162953461,1.168221705,1.173313426,1.178524844,1.183681497,1.189643295,1.195480805,1.201205897,1.206793669,1.212231589,1.217098095,1.221992602,1.226933416,1.232023931,1.237308115,1.242341222,1.2474059,1.252500183,1.257650496,1.262860933,1.268141189,1.273470494,1.27884777,1.284281476,1.289750213,1.295257289,1.300770953,1.306305552,1.311842751,1.317388971,1.322969296,1.32858115,1.334213178,1.339853264,1.346002799
6,0.239225046,0.237753115,0.236333401,0.234031632,0.228926089,0.219556098,0.207913361,0.201496012,0.202866241,0.204129652,0.205880248,0.206869257,0.206134043,0.206751938,0.207740505,0.205522555,0.20629061,0.207128838,0.207904146,0.208610819,0.209355404,0.210787161,0.212205641,0.213626923,0.214966635,0.215679528,0.217220288,0.218820141,0.220409301,0.221982442,0.223545447,0.225094036,0.226620013,0.228125793,0.229607479,0.231062894,0.232492328,0.233929063,0.235376157,0.236854658,0.238373509,0.239841286,0.241316988,0.242800463,0.244296541,0.245806347,0.247331892,0.248868864,0.25041698,0.251977878,0.25354725,0.255125917,0.256707323,0.258294477,0.259883623,0.261476174,0.263077473,0.264686688,0.266301474,0.267919351,0.269767262
7,0.681056385,0.675069411,0.669874587,0.665122954,0.660785545,0.660532787,0.655246618,0.655034939,0.656961884,0.658921452,0.661095654,0.667335399,0.668386129,0.668791495,0.67092796,0.672444836,0.674033806,0.675484492,0.676917988,0.676435494,0.669453881,0.666097185,0.662675355,0.659281222,0.655821237,0.656424318,0.658582439,0.660731793,0.66284292,0.666751598,0.670619776,0.674434384,0.678169556,0.681837214,0.685424909,0.688922833,0.69233638,0.695763297,0.699213203,0.702747118,0.706389447,0.70987833,0.713384583,0.716907214,0.720774416,0.724675986,0.728617857,0.732586821,0.736581704,0.74060775,0.744652318,0.748717938,0.75278569,0.756864815,0.760944146,0.765027357,0.769128979,0.773247835,0.777377035,0.78150927,0.785379175
8,0.83735806,0.826032011,0.816023178,0.806811968,0.798300888,0.797054225,0.798397974,0.792699097,0.796221794,0.799735644,0.802854611,0.805204889,0.814480123,0.815404074,0.817836706,0.81930068,0.820835029,0.822314483,0.823841812,0.822858322,0.820868696,0.822162055,0.823376862,0.8247316,0.826029029,0.825499745,0.826759958,0.828007926,0.829194328,0.832807142,0.83635793,0.839820588,0.843226854,0.846520695,0.849723275,0.852831554,0.855787429,0.858712037,0.861661628,0.864671946,0.867834943,0.870789266,0.873725455,0.876671298,0.879935478,0.883220363,0.886535405,0.889920574,0.893389361,0.89693067,0.900560931,0.904251585,0.90799283,0.911740291,0.915509492,0.919308749,0.923161268,0.92699439,0.930811988,0.934623327,0.938319835
9,1.397218293,1.397443175,1.39757842,1.397705658,1.397802961,1.399369064,1.400873915,1.402187608,1.403404178,1.395973221,1.396908366,1.397684596,1.398338954,1.398892855,1.399357888,1.39978426,1.400209876,1.400546037,1.40099941,1.401360034,1.401743073,1.401667043,1.401532267,1.401377411,1.401179894,1.401876259,1.401776587,1.401580643,1.401277715,1.400877691,1.400367228,1.399743651,1.399023227,1.398197744,1.397282712,1.396293222,1.395226189,1.394090692,1.392910272,1.391690744,1.390457878,1.389224246,1.387991099,1.386776608,1.3855854,1.384427842,1.383308233,1.382239883,1.381226082,1.380261601,1.379345445,1.378468932,1.377627481,1.376803549,1.375991572,1.375188797,1.374382844,1.373560718,1.372720583,1.371862117,1.37098349
10,0.541145675,0.535497168,0.532261343,0.527271925,0.524442894,0.524328899,0.523930552,0.523728979,0.523589483,0.523538893,0.523420732,0.523290372,0.523346766,0.523388887,0.523394803,0.523173996,0.523054112,0.522938818,0.525426999,0.525450854,0.525534501,0.526584926,0.527680488,0.52883174,0.530026099,0.532706896,0.534059746,0.53541855,0.53677211,0.538137236,0.539494539,0.540837927,0.54218972,0.543527566,0.544869011,0.546221347,0.547563167,0.548894575,0.550232118,0.551564313,0.552919338,0.554294098,0.555664818,0.557047839,0.558437897,0.559843331,0.561267202,0.562733491,0.564248062,0.56580344,0.567411851,0.569058571,0.570746983,0.572449858,0.574177014,0.575925883,0.577694497,0.579449489,0.581194724,0.582936764,0.584678522
