WRZ_ID,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080
1,0.763252926,0.716186961,0.679109935,0.657198168,0.638002488,0.640961887,0.643832956,0.646632945,0.649355732,0.652005911,0.655056125,0.658068803,0.661039306,0.663964085,0.666838133,0.669667038,0.672452952,0.675200898,0.677909909,0.680583399,0.683978531,0.687623761,0.691254226,0.694835358,0.698381911,0.701919586,0.705447439,0.708955981,0.712447818,0.71590415,0.718648295,0.721369887,0.724053153,0.726722535,0.729370445,0.731999788,0.734637925,0.73729197,0.739955119,0.74264562,0.745352629,0.748082407,0.750849162,0.753647914,0.756486065,0.759360751,0.762270258,0.765198426,0.768139879,0.771096656,0.774058461,0.777030051,0.780006418,0.78299831,0.785997788,0.789003964,0.79201658,0.795050192,0.798102674,0.801171081,0.804255291
2,0.784173242,0.744735743,0.715011731,0.700062968,0.68793631,0.690181753,0.692321504,0.694375229,0.696336191,0.698209741,0.700334883,0.702409964,0.704429914,0.706390909,0.708287509,0.710126155,0.711909416,0.713643061,0.715326148,0.716962625,0.719311455,0.721930394,0.724524528,0.727055647,0.729540319,0.73200713,0.734455107,0.736873858,0.739266365,0.741612051,0.744630138,0.747623421,0.750574551,0.753510413,0.756422657,0.759314482,0.762215978,0.765134972,0.768063977,0.771023065,0.774000309,0.777002594,0.780045548,0.783123694,0.786245171,0.789406831,0.792606788,0.795827268,0.79906236,0.802314306,0.805571782,0.808840019,0.81211351,0.815404077,0.818702986,0.822009262,0.825322622,0.828659072,0.832016277,0.835390996,0.838783096
3,0.643097115,0.637134304,0.630685347,0.625630809,0.623495712,0.625403195,0.627207642,0.628928387,0.630558762,0.632104011,0.634064776,0.635979263,0.637842417,0.639650404,0.641397787,0.643090853,0.644732078,0.646327099,0.647874932,0.649379427,0.651652927,0.654197341,0.656720828,0.659185453,0.661607553,0.664015428,0.666408082,0.668775156,0.671119566,0.673420797,0.676423628,0.679401779,0.682337992,0.685259013,0.688156537,0.691033743,0.693920573,0.696824811,0.699739011,0.702683141,0.705645335,0.708632444,0.711660016,0.714722603,0.717828301,0.72097398,0.724157761,0.727361962,0.730580701,0.733816209,0.737057218,0.740308935,0.743565879,0.746839812,0.750122046,0.753411609,0.75670822,0.760027805,0.763368039,0.7667257,0.770100653
4,0.635778117,0.622751459,0.600520136,0.566468177,0.534914153,0.536253977,0.537486904,0.538630134,0.539678472,0.540636937,0.543291152,0.545906668,0.548479162,0.551005353,0.553480589,0.555910213,0.558296321,0.560643705,0.562951513,0.565223015,0.567932654,0.570871601,0.573790918,0.576658305,0.579487727,0.582303319,0.585104247,0.587881711,0.590638218,0.593356341,0.59590977,0.598442214,0.600938995,0.603422858,0.605886741,0.608333347,0.610788136,0.613257728,0.61573579,0.618239304,0.620758179,0.623298239,0.625872707,0.628476949,0.631117851,0.63379275,0.636500049,0.639224711,0.641961736,0.64471302,0.647468983,0.65023405,0.653003562,0.655787521,0.658578538,0.661375787,0.66417903,0.667001809,0.669842146,0.672697301,0.675567162
5,1.279526483,1.244039514,1.214445738,1.187430547,1.161618999,1.166109934,1.170415319,1.174569634,1.178561078,1.18239904,1.18661808,1.190748361,1.194781018,1.19870937,1.20252391,1.206235944,1.209849998,1.213376192,1.216812898,1.22016705,1.225149038,1.230607401,1.236025666,1.241336804,1.246569776,1.251774654,1.256949705,1.262076659,1.267160708,1.272165672,1.277466071,1.282722907,1.287905716,1.293061709,1.298176226,1.30325488,1.308350522,1.313476891,1.318620842,1.323817626,1.329046295,1.334318943,1.339663013,1.345068888,1.350550862,1.356103405,1.361723205,1.367379049,1.373060553,1.378771658,1.384492473,1.390232188,1.39598113,1.401760061,1.407553643,1.413360162,1.419179121,1.425038634,1.430934594,1.436861314,1.442818559
6,0.240026334,0.238296029,0.236624916,0.234514257,0.230322145,0.229453688,0.228522883,0.227537581,0.226496066,0.225400946,0.226361216,0.227307313,0.22823739,0.229150034,0.230043252,0.230919237,0.231778826,0.232623994,0.233454345,0.234271221,0.235242621,0.236312106,0.237374866,0.238417252,0.239445116,0.240468626,0.241487416,0.24249775,0.243500667,0.244488767,0.245570712,0.246643766,0.247701709,0.248754178,0.24979818,0.250834862,0.251875012,0.252921434,0.253971445,0.25503224,0.256099544,0.257175825,0.258266686,0.259370162,0.260489172,0.261622586,0.26276973,0.263924231,0.26508397,0.266249752,0.267417515,0.268589137,0.269762642,0.270942268,0.272124885,0.273310143,0.27449794,0.275694015,0.27689753,0.278107324,0.279323348
7,0.660486022,0.660632623,0.661575371,0.662921522,0.664648495,0.665512837,0.666267745,0.666933196,0.667502445,0.667980977,0.669393905,0.670762616,0.672081857,0.673347624,0.674554253,0.675708134,0.676811745,0.677870825,0.678884301,0.67985608,0.681589874,0.683605706,0.685602712,0.687541693,0.689439445,0.691325152,0.693197764,0.695046542,0.696874468,0.698660273,0.701768221,0.704850626,0.707889624,0.710912898,0.713911852,0.716889778,0.719877665,0.722883569,0.725899782,0.728946975,0.732012863,0.73510454,0.738238095,0.74140789,0.744622307,0.747878102,0.751173335,0.754489702,0.757821116,0.761169886,0.764524351,0.767889897,0.771260853,0.774649394,0.778046525,0.781451243,0.784863255,0.788299046,0.791756208,0.795231407,0.798724504
8,0.875163225,0.855617853,0.837384148,0.819887335,0.803037199,0.807064343,0.810908545,0.814592172,0.818111398,0.821458263,0.825786212,0.829990378,0.834101665,0.838088372,0.841950278,0.845744925,0.849455983,0.853105871,0.85670678,0.860272832,0.864358363,0.86842913,0.872484647,0.876572793,0.880665456,0.8847163,0.888716162,0.892670539,0.896567332,0.900436342,0.904014806,0.907535023,0.911034504,0.914485283,0.917917434,0.921346193,0.924742558,0.928114211,0.931493158,0.934862352,0.938259755,0.941688134,0.945128536,0.948599584,0.952088664,0.955601844,0.959138397,0.96272879,0.96637852,0.970073571,0.973830326,0.977626648,0.981469536,0.985322561,0.989203027,0.993113148,0.997055852,1.000988091,1.004919813,1.008864954,1.012832086
9,1.403536789,1.404039012,1.404480248,1.404866553,1.405190559,1.406188977,1.407074102,1.407763401,1.408275868,1.408654345,1.409541741,1.410203525,1.4106527,1.410933636,1.411090247,1.41110125,1.411062715,1.410989083,1.410877614,1.410714195,1.410588643,1.40986709,1.409077677,1.408242743,1.407345158,1.406362527,1.405286805,1.404115856,1.402843017,1.401483978,1.402954695,1.404333621,1.405642067,1.406874974,1.408051801,1.40918995,1.410286862,1.411351426,1.412405538,1.413452207,1.414512121,1.415592851,1.416688972,1.417811635,1.418958786,1.420133254,1.421332387,1.42256348,1.423825251,1.42510874,1.42641173,1.427724711,1.429046817,1.430364949,1.431678614,1.432992352,1.434301113,1.43559914,1.436890918,1.43818115,1.43947289
10,0.554547907,0.546674806,0.540232859,0.533922483,0.527804739,0.530686464,0.533437834,0.536074744,0.538594499,0.540991473,0.543671633,0.546258423,0.548773938,0.551195928,0.553524462,0.555800382,0.558012292,0.560176137,0.56230061,0.56439573,0.56686873,0.569326776,0.571769558,0.574230674,0.576690379,0.579116245,0.581501943,0.583851409,0.586156282,0.588437457,0.590933394,0.593388706,0.595829555,0.598236434,0.600630321,0.603021841,0.605390767,0.607742457,0.610099235,0.612449209,0.614818859,0.617210115,0.619609757,0.622030774,0.624464368,0.626914771,0.629381476,0.631885735,0.634431381,0.637008637,0.639628931,0.642276823,0.644957194,0.647644635,0.650351216,0.653078482,0.655828473,0.658571165,0.661313497,0.664065188,0.666832218
11,0.259082293,0.258151581,0.257205819,0.25624908,0.255279561,0.255452509,0.255571808,0.255643608,0.2556671,0.2556404,0.255973155,0.256270234,0.25653987,0.256773846,0.256972231,0.257150189,0.257303523,0.257438162,0.257557338,0.257664771,0.257901436,0.258131602,0.258355162,0.258584518,0.258812377,0.259026788,0.259225436,0.259409791,0.259576794,0.259734154,0.260652248,0.261555398,0.262453228,0.263338563,0.264219119,0.265098805,0.265970179,0.266835214,0.267702119,0.268566523,0.269438164,0.270317752,0.271200425,0.27209096,0.272986121,0.273887466,0.274794807,0.275715962,0.27665234,0.277600346,0.278564182,0.27953817,0.280524105,0.281512641,0.282508217,0.283511401,0.284522945,0.285531803,0.28654053,0.287552699,0.28857051
12,1.806968331,1.780026139,1.759062401,1.723334957,1.705749969,1.714059488,1.722001274,1.729620657,1.736909659,1.743851878,1.751046505,1.757971292,1.764689728,1.771138011,1.777316411,1.783342191,1.789182689,1.794883701,1.800470192,1.805970927,1.812504599,1.818993348,1.825436305,1.831929793,1.838417199,1.844805582,1.851076845,1.857242307,1.863278058,1.869243992,1.876393227,1.883426095,1.890417536,1.897311677,1.904168603,1.911018751,1.917804181,1.92454024,1.931290872,1.938022019,1.944809523,1.951658913,1.958532321,1.965466958,1.972437619,1.979456429,1.986521932,1.993695001,2.000986617,2.008368779,2.015874214,2.023458699,2.031136215,2.038833983,2.046586575,2.054398414,2.062275348,2.070131373,2.077986367,2.08586817,2.093793908
13,0.834354875,0.830080777,0.825923656,0.821568803,0.81655021,0.818770669,0.820809919,0.822689194,0.824405409,0.825951684,0.828690368,0.831308578,0.833835048,0.836240761,0.838525763,0.840743226,0.842878274,0.844951661,0.846974693,0.848960415,0.850830738,0.852676421,0.854497099,0.856336478,0.858168855,0.859952136,0.861678204,0.863352269,0.864963601,0.86653936,0.869769256,0.872946579,0.876105186,0.879219834,0.88231767,0.885412443,0.888477979,0.891521209,0.894571023,0.897612033,0.900678505,0.903772937,0.906878219,0.910011163,0.913160382,0.916331354,0.919523421,0.922764084,0.926058305,0.929393432,0.932784253,0.936210786,0.93967935,0.943157063,0.946659544,0.950188792,0.953747449,0.95729666,0.960845405,0.964406261,0.967986967
14,1.035604193,1.031011619,1.026296067,1.021449604,1.016388345,1.018752592,1.020893202,1.022836253,1.024578037,1.026110201,1.02915839,1.032058366,1.034845324,1.037483777,1.03997381,1.042380515,1.044685707,1.046914796,1.049081628,1.051202173,1.053334927,1.055438442,1.057512264,1.059609874,1.061699822,1.063730588,1.065692218,1.067591072,1.069413995,1.071194224,1.075149324,1.079040048,1.082907853,1.08672183,1.090515219,1.094304858,1.098058694,1.101785216,1.105519801,1.109243606,1.11299859,1.11678781,1.120590317,1.124426697,1.128283006,1.132165952,1.13607473,1.140043016,1.144076884,1.148160844,1.152313001,1.15650889,1.160756246,1.165014805,1.169303694,1.17362536,1.177983038,1.182329148,1.186674689,1.19103506,1.195419737
15,0.123993641,0.122974359,0.122085913,0.121206822,0.120538661,0.120696195,0.12083126,0.120946532,0.121041594,0.121115548,0.121353002,0.121575738,0.121787397,0.121984256,0.122166295,0.122340285,0.122504309,0.122661005,0.12281181,0.122958385,0.123037792,0.123114053,0.123187121,0.123262594,0.123337179,0.123405485,0.123466471,0.123520805,0.12356711,0.123608868,0.124022667,0.124429731,0.124834396,0.12523343,0.12563031,0.126026798,0.126419539,0.126809423,0.127200151,0.127589751,0.127982613,0.128379056,0.12877689,0.129178268,0.129581731,0.129987981,0.130396933,0.130812111,0.131234151,0.131661432,0.132095847,0.132534839,0.132979214,0.133424762,0.133873483,0.134325634,0.134781552,0.13523626,0.135690908,0.136147108,0.136605851
16,1.067784874,1.045552921,0.996833947,0.97320777,0.949724292,0.95400217,0.95807995,0.9619819,0.965703984,0.969237711,0.973546423,0.977715931,0.981779769,0.985703955,0.98948848,0.993195476,0.996807507,1.000348812,1.003832596,1.007274101,1.011015879,1.014734516,1.018429546,1.02215223,1.025872442,1.029540707,1.033147377,1.036698462,1.040181216,1.043627517,1.047434742,1.051179998,1.054903191,1.058574569,1.062226129,1.065874079,1.069487565,1.073074759,1.076669713,1.080254291,1.083868881,1.087516427,1.091176765,1.094869708,1.098581836,1.102319605,1.106082239,1.109902157,1.113785205,1.117716471,1.121713385,1.125752397,1.12984095,1.133940288,1.138068822,1.142228908,1.146423658,1.150607274,1.154790341,1.158987685,1.163208425
17,0.997886085,0.990767455,0.983563555,0.976323637,0.969046423,0.971323401,0.973388873,0.975267512,0.976955802,0.978445833,0.981316588,0.984046518,0.986668952,0.989150326,0.991490746,0.993751815,0.995916342,0.998008381,1.00004104,1.002029432,1.004156054,1.006255814,1.008328278,1.010424047,1.012513368,1.014547479,1.016516946,1.018427772,1.020267487,1.022067541,1.025812336,1.029496177,1.033158318,1.036769492,1.040361174,1.043949305,1.047503538,1.051031909,1.054567913,1.058093711,1.061649029,1.065236764,1.068837079,1.072469466,1.076120722,1.079797199,1.083498134,1.087255413,1.091074787,1.094941589,1.098872962,1.102845741,1.106867251,1.110899369,1.114960203,1.119052072,1.123178037,1.12729305,1.131407523,1.135536039,1.139687568
18,1.011826834,1.008042517,1.004295557,1.000780123,0.997425997,0.998780125,0.999888731,1.000779216,1.001448452,1.001888604,1.004256159,1.006463461,1.008546658,1.010469985,1.012233905,1.013904779,1.015464388,1.016938696,1.018341884,1.019690223,1.021922304,1.024125696,1.026299934,1.028499053,1.030691281,1.032824547,1.034888777,1.036890382,1.038816046,1.040699353,1.044698217,1.048631991,1.052542594,1.056398772,1.060234135,1.064065706,1.067861078,1.071628835,1.075404743,1.079169752,1.082966284,1.086797432,1.090642014,1.094520843,1.098419822,1.102345734,1.106297762,1.110309957,1.11438846,1.118517608,1.122715709,1.126958025,1.131252378,1.135558059,1.139894404,1.144263889,1.148669785,1.153063985,1.157457608,1.161866227,1.166299421
