WRZ_ID,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080
1,0.763252926,0.714286027,0.675408429,0.651675143,0.630660459,0.627852479,0.62492992,0.621926284,0.618839534,0.615683015,0.613383895,0.611056389,0.608704758,0.606316193,0.603895284,0.601442417,0.598962395,0.596463434,0.59394775,0.591416199,0.59078771,0.590357319,0.589909206,0.589405293,0.588854722,0.588278095,0.587670233,0.587017388,0.586318571,0.585552012,0.586373695,0.587140629,0.587834648,0.588477751,0.58906178,0.589589177,0.590086936,0.590563003,0.591012342,0.591454359,0.59188121,0.592301547,0.592732553,0.593172061,0.593631234,0.594111269,0.594614718,0.595129401,0.595653584,0.596191791,0.596736064,0.597291725,0.597853438,0.598430527,0.599012649,0.599595223,0.600174406,0.600760272,0.601346249,0.601926004,0.602495946
2,0.784173242,0.742597796,0.710829297,0.693819055,0.679635352,0.673051918,0.666318045,0.659472977,0.652515866,0.645462797,0.640504076,0.635502604,0.630463265,0.62537251,0.620235671,0.615053515,0.60983149,0.60457855,0.599297185,0.593988422,0.593207652,0.592634698,0.592044117,0.591396057,0.590700023,0.589977527,0.589223115,0.588422353,0.587574154,0.586655646,0.587516935,0.588320835,0.589048306,0.589722407,0.590334587,0.590887404,0.591409155,0.591908169,0.592379166,0.592842489,0.593289914,0.593730512,0.594182293,0.594642985,0.59512429,0.595627463,0.596155178,0.59669467,0.597244118,0.597808268,0.598378775,0.598961219,0.599550006,0.600154912,0.600765093,0.601375746,0.601982846,0.602596952,0.603211173,0.603818873,0.604416286
3,0.643097115,0.635085624,0.626577114,0.61949187,0.615324224,0.60919706,0.602921802,0.596537083,0.590042069,0.583452594,0.578924801,0.574354924,0.569747771,0.565090003,0.560386871,0.555639128,0.550852138,0.546034714,0.54118931,0.536316935,0.535901929,0.535691498,0.535463715,0.535179349,0.534847759,0.534490118,0.53410106,0.533666374,0.53318499,0.532634394,0.53348225,0.534273612,0.534989736,0.535653324,0.536255955,0.53680015,0.537313763,0.537804994,0.538268645,0.538724741,0.539165188,0.539598913,0.540043648,0.540497155,0.540970953,0.541466278,0.541985762,0.542516839,0.543057718,0.543613069,0.544174677,0.544748037,0.545327641,0.545923112,0.546523776,0.547124905,0.547722536,0.548327063,0.548931704,0.549529926,0.550118021
4,0.635778117,0.620803798,0.596663849,0.560932993,0.527855578,0.52317487,0.518364959,0.513459298,0.508457255,0.503372569,0.50013772,0.496865865,0.49356116,0.490212144,0.486823357,0.483395474,0.479933126,0.476443907,0.472929936,0.469392087,0.469850173,0.470483982,0.47110295,0.471673385,0.47220332,0.472710936,0.473191623,0.473633172,0.474034661,0.47437675,0.475104982,0.475784692,0.476399779,0.476969741,0.477487348,0.477954763,0.478395911,0.478817834,0.479216069,0.479607816,0.47998612,0.480358652,0.480740639,0.481130162,0.481537111,0.481962552,0.482408743,0.48286489,0.483329457,0.483806454,0.484288825,0.484781291,0.485279119,0.485790575,0.486306492,0.486822809,0.48733612,0.487855356,0.488374688,0.488888507,0.489393629
5,1.279526483,1.240353859,1.207069797,1.176430635,1.147069081,1.138138903,1.128955412,1.119586718,1.110030611,1.100314791,1.093711213,1.087037994,1.080303662,1.073484005,1.066588298,1.059617721,1.052581816,1.045496441,1.03836597,1.031192175,1.030774782,1.030729673,1.030652471,1.030471734,1.030204536,1.029889465,1.029516766,1.029060584,1.028519,1.027851058,1.029394357,1.030834823,1.032138338,1.033346225,1.034443157,1.035433721,1.036368619,1.037262775,1.03810673,1.038936934,1.039738651,1.040528134,1.041337656,1.042163147,1.043025571,1.04392718,1.044872765,1.045839451,1.046823979,1.047834849,1.048857109,1.04990076,1.050955777,1.052039675,1.053133025,1.054227223,1.055315053,1.056415436,1.057516026,1.058604931,1.059675404
6,0.240026334,0.237532731,0.23508256,0.232202738,0.227285327,0.225088017,0.22283567,0.220542643,0.218208627,0.215839505,0.214236579,0.212618013,0.210985593,0.209334363,0.207666274,0.205981606,0.204282353,0.202571789,0.200850827,0.199119841,0.199045374,0.199046933,0.199042044,0.199016127,0.198972659,0.198919511,0.198854686,0.198772905,0.198673769,0.198548911,0.198864004,0.199158103,0.19942424,0.199670853,0.199894812,0.200097055,0.200287932,0.200470491,0.2006428,0.200812302,0.200975987,0.201137175,0.201302455,0.201470994,0.201647074,0.201831155,0.202024214,0.202221581,0.202422591,0.202628979,0.202837693,0.203050774,0.203266176,0.203487474,0.203710702,0.203934103,0.204156204,0.204380868,0.204605574,0.204827895,0.205046452
7,0.660486022,0.658541292,0.657359636,0.656600214,0.656245485,0.652152151,0.647926577,0.643607179,0.639191703,0.634695475,0.632838611,0.63095704,0.629055484,0.627118993,0.625152609,0.623156544,0.621136163,0.619100879,0.617053182,0.614993988,0.614963977,0.615174166,0.615370615,0.615507927,0.615596488,0.615660466,0.615693426,0.615678592,0.615614368,0.615474093,0.616464745,0.617389389,0.618226122,0.619001472,0.619705599,0.620341448,0.620941564,0.621515528,0.622057268,0.62259018,0.623104807,0.623611581,0.624131218,0.624661106,0.6252147,0.625793448,0.626400425,0.627020946,0.62765292,0.628301803,0.628957998,0.629627924,0.630305145,0.631000906,0.631702734,0.632405105,0.63310339,0.633809732,0.634516207,0.635215182,0.635902324
8,0.875163225,0.85300962,0.832146031,0.812062975,0.792679351,0.790687806,0.788483513,0.786111002,0.783589905,0.780916428,0.781155845,0.781316886,0.781409964,0.781440555,0.781396011,0.781339486,0.781239467,0.781112875,0.780978141,0.78083491,0.782086075,0.783327296,0.784562199,0.785830411,0.78709437,0.788299428,0.789428096,0.790477483,0.791428388,0.792303574,0.793415762,0.794408757,0.795315733,0.796104077,0.796800925,0.797419665,0.797929616,0.798339455,0.798684542,0.798951566,0.799186631,0.799399692,0.799579922,0.799754295,0.799918713,0.800087593,0.800268232,0.80049882,0.800791322,0.801135511,0.80155171,0.802017661,0.802539256,0.803075553,0.803639341,0.804225848,0.80483102,0.80540172,0.805939782,0.806453321,0.806945176
9,1.403536789,1.400137646,1.396541134,1.392857128,1.389100162,1.378183813,1.367145247,1.355931925,1.344580091,1.333149888,1.319275928,1.30525369,1.291095884,1.276845916,1.262566227,1.248242255,1.233916976,1.219591945,1.205266246,1.190939299,1.182824809,1.17434775,1.165842735,1.157319374,1.148750796,1.140107507,1.131373232,1.122536685,1.113584873,1.104524397,1.102824464,1.100986505,1.099023663,1.096927563,1.09471299,1.092394383,1.089970124,1.087450642,1.08485995,1.082206449,1.079517373,1.076807845,1.074082781,1.07136094,1.068650567,1.065963667,1.063307192,1.060695557,1.058134516,1.055620685,1.053155613,1.050731118,1.048344472,1.045980095,1.043631446,1.041294519,1.038956824,1.036603931,1.03423088,1.031835098,1.029412874
10,0.554547907,0.54489042,0.536603014,0.528433877,0.520452713,0.519235434,0.517862658,0.516366373,0.514760831,0.513043699,0.510140462,0.507160575,0.504112473,0.501000985,0.497818551,0.494608801,0.491350905,0.488056724,0.484738724,0.481396767,0.480996617,0.480581152,0.48015281,0.479736943,0.479309454,0.478835854,0.478305648,0.477717674,0.477060625,0.476349474,0.47704056,0.477657581,0.478221153,0.478711009,0.479144013,0.479528482,0.479845353,0.480100016,0.480314445,0.480480366,0.48062643,0.480758821,0.480870811,0.480979162,0.481081327,0.481186264,0.481298509,0.481441791,0.481623544,0.481837414,0.482096029,0.482385559,0.482709666,0.483042907,0.48339323,0.48375767,0.484133709,0.484488327,0.484822665,0.485141765,0.485447392
